x_pos,y_pos,time_stamp
565,351,0.06601405143737793
565,351,0.10151505470275879
565,351,0.11868906021118164
565,351,0.12611103057861328
565,351,0.14548087120056152
565,351,0.16586017608642578
565,351,0.18727612495422363
565,351,0.20699405670166016
565,351,0.22731709480285645
565,351,0.24854397773742676
565,351,0.2696361541748047
565,351,0.28974199295043945
565,351,0.3103799819946289
565,351,0.3302910327911377
565,351,0.35199999809265137
565,351,0.37365293502807617
565,351,0.3937990665435791
565,351,0.415179967880249
565,351,0.43720388412475586
565,351,0.4577209949493408
565,351,0.4794471263885498
565,351,0.4993462562561035
565,351,0.5201280117034912
565,351,0.5418951511383057
565,351,0.5620369911193848
565,351,0.584125280380249
565,351,0.6031742095947266
579,368,0.6242952346801758
601,388,0.6451451778411865
620,403,0.6668760776519775
652,430,0.6879379749298096
664,438,0.7085161209106445
693,459,0.7275099754333496
707,470,0.7503511905670166
712,472,0.7696239948272705
717,474,0.792539119720459
723,477,0.809840202331543
724,477,0.8312749862670898
727,479,0.8521451950073242
729,480,0.8738701343536377
730,480,0.8940680027008057
730,480,0.913895845413208
730,480,0.9355030059814453
729,478,0.9556231498718262
724,460,0.9768459796905518
716,446,0.9974992275238037
712,422,1.0180280208587646
703,404,1.0385048389434814
703,404,1.0588910579681396
700,394,1.1170248985290527
700,394,1.119598150253296
675,322,1.1410531997680664
670,292,1.1610748767852783
663,258,1.1816718578338623
658,247,1.202674150466919
651,225,1.2242560386657715
645,205,1.2433810234069824
644,198,1.264815092086792
641,187,1.2849431037902832
629,171,1.3052542209625244
626,168,1.3249468803405762
621,162,1.3455300331115723
612,152,1.366560935974121
598,135,1.3864901065826416
582,115,1.4075188636779785
574,107,1.4279448986053467
556,90,1.4495248794555664
542,80,1.4699771404266357
534,76,1.4908862113952637
523,71,1.5113060474395752
516,68,1.5319321155548096
512,66,1.5526461601257324
504,63,1.5726730823516846
497,61,1.5939991474151611
494,59,1.6151890754699707
491,57,1.6362740993499756
491,57,1.6567440032958984
491,57,1.6768171787261963
491,56,1.6978240013122559
491,56,1.7176871299743652
490,57,1.7386391162872314
490,57,1.7588651180267334
492,57,1.7789220809936523
492,57,1.7989890575408936
492,57,1.8209881782531738
493,58,1.8416039943695068
493,58,1.862109899520874
493,58,1.884274959564209
493,58,1.9053020477294922
493,58,1.9260849952697754
493,58,1.9471731185913086
